Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules
Component,"Category of metadata (e.g. Tools, Publications, etc.); provide the same one for all items/rows.",,,TRUE,,,,,
Tool,"Application software derived from consortia activity with well-defined processing functions (inputs, outputs, and operations).",,"Component, Tool Name, Tool Description, Tool Homepage, Tool Version, Tool Operation, Tool Input Data, Tool Output Data, Tool Input Format, Tool Output Format, Tool Function Note, Tool Cmd, Tool Type, Tool Topic, Tool Operating System, Tool Language, Tool License, Tool Cost, Tool Accessibility, Tool Download Url, Tool Download Type, Tool Download Version, Tool Documentation Url, Tool Documentation Type, Tool Documentation Note, Tool Link Url, Tool Link Type, Tool Link Note",FALSE,,,,,
Tool Name,Canonical tool name provided by the tool developer or service provider.,,,TRUE,,,,biotoolsschema,
Tool Description,Textual description of the tool.,,,TRUE,,,,biotoolsschema,
Tool Homepage,"Homepage of the software, or some URL that best serves this purpose.",,,TRUE,,,,biotoolsschema,
Tool Version,Version information (typically a version number) of the software applicable to this entry.,,,FALSE,,,,biotoolsschema,
Tool Operation,"The basic operation(s) performed by this software function. Multiple values permitted, comma separated.","Genome Visualisation, Nucleic Acid Feature Detection, Cell Migration Analysis, Expression Data Visualisation, Gene Methylation Analysis, Validation, Mapping, Sequence Cluster Visualisation, Gene Regulatory Network Prediction, Simulated Gene Expression Data Generation, Expression Profile Comparison, Nucleosome Position Prediction, Aggregation, Spectral Analysis, Pathway Analysis, Genome Annotation, Structural Variation Detection, Statistical Inference, Gene-Set Enrichment Analysis, Query and Retrieval, Differential Protein Expression Profiling, Comparison, RNA Secondary Structure Prediction, Sequence Alignment Comparison, Classification, Dimensionality Reduction, RNA-Seq Analysis, Principal Component Analysis, Annotation, Allele Frequency Distribution Analysis, Calculation, Text Mining, Structure Analysis, SNP Annotation, Sequence Analysis, Phylogenetic Analysis, Incident Curve Plotting, Generation, Network Visualisation, Protein Function Comparison, Protein-Protein Interaction Analysis, Regression Analysis, Expression Profile Clustering, Conversion, Methylation Analysis, Genetic Variation Analysis, Metabolic Pathway Prediction, Peak Calling, Microscope Image Visualisation, Standardisation and Normalisation, Sequence Read Processing, Variant Effect Prediction, Variant Classification, Clustering, Genetic Mapping, Expression Correlation Analysis, Demultiplexing, Protein Function Prediction, SNP Detection, Sequencing Quality Control, Network Analysis, Protein Comparison, Information Retrieval, Ontology Visualisation, Molecular Dynamics, Sequence Clustering, Gene Expression Profiling, Sorting, RNA-Seq Quantification, DNA Barcoding, Heat Map Generation, Data Handling, Copy Number Variation Detection, Statistical Calculation, Expression Analysis, Prediction and Recognition, Protein Interaction Network Analysis, Sequence Comparison, Genome Analysis, Clustering Profile Plotting, Linkage Analysis, Analysis, Editing, Quantification, Image Analysis, Box-Whisker Plot Plotting, Protein Identification, Protein Quantification, Data Retrieval, Variant Calling, Differential Gene Expression Profiling, Nucleic Acid Sequence Analysis, Database Search, Sequence Alignment Analysis, Modelling and Simulation, Genotyping, Imputation, Correlation, Sequence Annotation, Sequence Classification, Scatter Plot Plotting, Gene Regulatory Network Analysis, Enrichment Analysis, Visualisation, Cell Number Quantification, Cell Type Enrichment Analysis, Tissue Modelling, Cell Modelling, Statistical Modelling, Pathway Modelling, Functional Clustering, Sequence File Editing, Sequence Editing, scRNA-Seq Analysis",,TRUE,,,,biotoolsschema,list
Tool Input Data,"Type of primary input data. Multiple values permitted, comma separated.","Sequence Search Results, GO-Term Enrichment Data, Count Matrix, Genotype/Phenotype Report, Heat Map, Enzyme Kinetics Data, Organism Name, Molecule Identifier, Cell Line Name, Sequence Composition Plot, Expression Data, Position-Specific Scoring Matrix, Strain Name, Raw Image, Protein Structure Report, Small Molecule Report, Kinetic Model, Sequence Position, Gene ID (NCBI), Drug Report, Gene Name, Phenotype Name, Mass Spectrometry Data, Quality Control Report, MRI Image, Concentration, Text Mining Report, Map, Sample ID, Sequence Range, Phylogenetic Tree, Database Search Results, Pathway Overrepresentation Data, Protein Interaction Data, Matrix, Plot, RNA Sequence, Vmax, P-Value, Ontology Name, Sequence Alignment, Simulation, Nucleic Acid Sequence, Cell Type Ontology ID, Trajectory Data, Hierarchy, Structure Report, Compound Identifier, Transcription Factor Name, Mathematical Model, Peptide Property, Biological Model Name, Protein Identifier, Sequence Set, Gene Symbol, Drug Name, Protein Name, Reaction Data, Data Reference, DNA Sequence, Transcription Factor Identifier, Gene ID, Sequence Variations, Codon Number, Cell Migration Track Image, Spectrum, Ontology, RefSeq Accession, Morphology Parameter, Sequence Attribute, Sequence Signature Data, Mass Spectrum, Sequence Coordinates, Protein Contact Map, Sequence Similarity, Report, Gene Expression Matrix, Compound Name, Accession, Position Weight Matrix, Organism Identifier, Sequence Similarity Score, Image, Mutation ID, Ontology Data, Identifier, Ontology Concept Data, Cell Type Identifier, Histogram, Protein Report, Comparison Matrix, Molecule Name, Ontology Mapping, Statistical Estimate Score, Map Data, Molecular Property, Gene Expression Profile, Protein Sequence, Gene Identifier, Cell Type Name, Taxonomy, Image Metadata, Sequence Property, Sequence Record, Molecular Simulation Data, Gene Tree, Drug Identifier, Hidden Markov Model, Sequence, dbSNP ID, Peptide Identification, Resource Metadata, Score, Sequence Cluster, Gene Report, Sample Annotation, Sequence Composition Report, Topology Data, Genetic Map, Ontology Term, Over-Represesntation Data, Clustered Expression Profiles, Pair Sequence Alignment, Protein Property, Phylogenetic Data, Chromosome Name, Strain Identifier, Sequence Report, Nucleic Acid Identifier, Biological Model ID, Sequence Motif, Alignment, Pathway Or Network, Pathway Or Network Report, Experimental Measurement, Ontology Identifier, Chromosome Report, Nucleic Acid Report, Text Data, Plain Text, Electronic Health Record, Structure, Data Index",,TRUE,,,,biotoolsschema,list
Tool Output Data,"Type of primary output data. Multiple values permitted, comma separated.","Sequence Search Results, GO-Term Enrichment Data, Count Matrix, Genotype/Phenotype Report, Heat Map, Enzyme Kinetics Data, Organism Name, Molecule Identifier, Cell Line Name, Sequence Composition Plot, Expression Data, Position-Specific Scoring Matrix, Strain Name, Raw Image, Protein Structure Report, Small Molecule Report, Kinetic Model, Sequence Position, Gene ID (NCBI), Drug Report, Gene Name, Phenotype Name, Mass Spectrometry Data, Quality Control Report, MRI Image, Concentration, Text Mining Report, Map, Sample ID, Sequence Range, Phylogenetic Tree, Database Search Results, Pathway Overrepresentation Data, Protein Interaction Data, Matrix, Plot, RNA Sequence, Vmax, P-Value, Ontology Name, Sequence Alignment, Simulation, Nucleic Acid Sequence, Cell Type Ontology ID, Trajectory Data, Hierarchy, Structure Report, Compound Identifier, Transcription Factor Name, Mathematical Model, Peptide Property, Biological Model Name, Protein Identifier, Sequence Set, Gene Symbol, Drug Name, Protein Name, Reaction Data, Data Reference, DNA Sequence, Transcription Factor Identifier, Gene ID, Sequence Variations, Codon Number, Cell Migration Track Image, Spectrum, Ontology, RefSeq Accession, Morphology Parameter, Sequence Attribute, Sequence Signature Data, Mass Spectrum, Sequence Coordinates, Protein Contact Map, Sequence Similarity, Report, Gene Expression Matrix, Compound Name, Accession, Position Weight Matrix, Organism Identifier, Sequence Similarity Score, Image, Mutation ID, Ontology Data, Identifier, Ontology Concept Data, Cell Type Identifier, Histogram, Protein Report, Comparison Matrix, Molecule Name, Ontology Mapping, Statistical Estimate Score, Map Data, Molecular Property, Gene Expression Profile, Protein Sequence, Gene Identifier, Cell Type Name, Taxonomy, Image Metadata, Sequence Property, Sequence Record, Molecular Simulation Data, Gene Tree, Drug Identifier, Hidden Markov Model, Sequence, dbSNP ID, Peptide Identification, Resource Metadata, Score, Sequence Cluster, Gene Report, Sample Annotation, Sequence Composition Report, Topology Data, Genetic Map, Ontology Term, Over-Represesntation Data, Clustered Expression Profiles, Pair Sequence Alignment, Protein Property, Phylogenetic Data, Chromosome Name, Strain Identifier, Sequence Report, Nucleic Acid Identifier, Biological Model ID, Sequence Motif, Alignment, Pathway Or Network, Pathway Or Network Report, Experimental Measurement, Ontology Identifier, Chromosome Report, Nucleic Acid Report, Text Data, Plain Text, Electronic Health Record, Structure, Data Index",,TRUE,,,,biotoolsschema,list
Tool Input Format,"Allowed format(s) of the input data. Multiple values permitted, comma separated.","Document Format, PS, Annotated Text Format, xlsx, MATLAB Script, nii, Sequence Feature Annotation Format, Sequence Record Format, Trajectory Format, pkl, Workflow Format, VCF, Protein Interaction Format, MAGE-TAB, FASTQ, Gene Cluster Format, HDF5, Docker Image Format, Binary Format, Alignment Format, mzML, Raw Sequence Format, Sequence Cluster Format, GIF, xls, JPG, Biological Pathway Or Network Format, HTML, MAGE-ML, Phylogenetic Tree Format (Text), R Script, Dot-Bracket Format, TIFF, Mass Spectrometry Data Format, Sequence Range Format, BNGL, TSV, Alignment Format (Text), Python Script, GML, Sequence Feature Table Format (Text), XML, Phylip Format Variant, Gene Expression Report Format, Sequence Trace Format, Sequence Cluster Format (Protein), Phylogenetic Tree Format, bedgraph, Gene Annotation Format, GTF, Database Hits (Sequence) Format , BLAST Results, SQLite Format, Sequence Annotation Track Format, Scores Format, GFF, Hidden Markov Model Format, FASTA, imzML Metadata File, Ontology Format, Genotype And Phenotype Annotation Format, PDF, Image Format, MSF, GFF3, Matrix Format, RNA Secondary Structure Format, Biological Model Format, SBML, OME-TIFF, JSON, GCT/Res Format, SVG, FASTQ-Illumina, Individual Genetic Data Format, Graph Format, bigWig, BCF, Topology Format, RPKM, Map Format, Sequence Feature Table Format, MAF, PSF, Sequence Profile Format, PNG, cel, Alignment Format (Pair Only), YAML, Phylip Format, NIFTI Format, NumPy Format, BAM, Cytoscape Input File Format, BED, SAM, DSV, sif, Textual Format, RNA Annotation Format, Sequence Variation Annotation Format, Nexus Format, Cytoband Format, Tertiary Structure Format, CSV, MAT, Not Applicable, FCS, DCD, TXT, R File Format, H5AD, Chemical Data Format",,TRUE,,,,biotoolsschema,list
